country,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage_percent,tier_distribution,key_operators,cloud_provider,internet_penetration_percent,growth_rate_of_data_centers_percent_per_year,cooling_technologies_common
Nicaragua,3,0,3,15000.0,3.0,71.3,Tier III (Millicom),"Tigo Business (Millicom), Claro, Movistar, CooTel/Yota Wi‑Fi hotspots",No global hyperscale presence,71.3,610.0,"Air cooling, in‑row cooling, UPS/gensets, satellite fallback"
Niger,1,0,1,5000.0,2.0,0.0,"SONITEL (Niger Telecom), Orange Niger, Airtel Niger, Niger Telecom",,No global hyperscale presence,15.0,0.0,"Air cooling, satellite fallback, basic UPS/gensets"
Nigeria,17,0,17,430000.0,137.0,48.2,"Tier III (majority), some Tier II/IV","Rack Centre, Equinix (MainOne), Open Access (OADC), Digital Realty, Africa Data Centres, MTN, Airtel Nxtra, Glo, CCHub",No global hyperscale region (lab/testing only),48.2,1580.0,"Air cooling, precision AC, UPS/gensets, VSAT fallback"
North Macedonia,5,0,5,50000.0,20.0,92.0,Tier III (majority),"Makedonski Telekom, A1, Telekom, Orion Telekom, One Telecom",No global hyperscale presence,92.0,790.0,"Air cooling, precision AC, generators, regional free/ambient cooling"
Norway,26,0,26,3000000.0,501.0,98.0,"Tier III (majority), some Tier IV","Green Mountain, Bulk Infrastructure, STACK Infrastructure, Lefdal Mine, Google, Microsoft, Keysource, Namsos DataSenter","Yes (Microsoft, AWS, Google hyperscale)",96.2,1029.0,"Air cooling, free/fjord cooling, liquid immersion pilots, heat-recovery to district heating, biomass cogeneration"
Oman,6,0,6,94000.0,18.0,95.0,Tier III (majority),"Equinix, Ooredoo, Oman Data Park, Cloud Acropolis, Datamount, Gulf Data Hub",No local AWS/GCP region (labs only),95.3,1030.0,"Air cooling, water-chillers, CRAC/CRAH, 5 G-ready infrastructure, UPS/generator backup"
Pakistan,22,0,22,300000.0,1367.0,48.2,"Tier III (majority), some Tier II/IV","PTCL, Multinet, Transworld, Zong, Jazz, Rack Centre, MainOne/Equinix, Supernet, PTCL, OADC",No global hyperscale region (local lab presence only),48.2,441.0,"Air cooling, precision CRAC/CRAH, UPS/gensets, carrier-neutral VXLAN, solar + backup generators"
Palau,0,0,0,0.0,0.0,57.5,,PNCC (ISPs & backbone),No global hyperscale presence,57.5,1840.0,"Mobile 4G, VSAT/satellite, upcoming FTTH pilots"
Panama,8,0,8,30000.0,10.0,78.0,Tier III (majority),"Tigo/Ericsson, KIO Networks, Cirion, Telecom Italia Sparkle, Cable & Wireless, Cable Onda, Telecarrier",Presence of lab-level AWS/Azure via local cloud partners (no region yet),78.0,1170.0,"Air cooling, precision CRAC/CRAH, UPS/gensets, free cooling pilots"
Papua New Guinea,2,0,2,10000.0,1.0,24.0,Tier II (ISP-premises),"Digicel PNG, Telikom PNG/Satellite PoPs",No global hyperscale presence,24.1,180.00000000000006,"Mobile 3G/4G, satellite VSAT, basic UPS/generators"
Paraguay,8,0,8,35000.0,2.0,83.0,Tier III (majority),"Tigo Business (Millicom), IPXON, UfiNet, Centro Nacional de Computación (CNC)",No AWS/Azure/GCP region (labs/storage only),83.0,1280.0,"Air cooling, precision CRAC/CRAH, UPS/gensets, carrier-neutral cache nodes"
Peru,10,0,10,58000.0,12.0,79.5,Tier III (majority),"Equinix, Gtd Peru, Nabiax (Actis), Claro, Cirion, Win Empresas, Optical Networks, GTD",No local hyperscale region (labs via AWS/Azure/Huawei Cloud),79.5,1560.0,"Air cooling, precision CRAC/CRAH, UPS/gensets, free cooling pilots"
Philippines,21,0,21,2280000.0,497.0,98.0,Tier III (majority),"ePLDT, YCO Cloud, SpaceDC, Globe+STT GDC, Digital Edge, Converge ICT, PLDT, DITO Labs, QTC, Beeinfotech, Megawide, EdgeConnex-Aboitiz",No local hyperscale region (labs/storage only),98.0,2080.0,"Air cooling, precision CRAC/CRAH, UPS/gensets, liquid cooling pilots, green energy initiatives"
Portugal,10,0,10,326000.0,48.0,85.5,Tier III (majority),"Altice Portugal (Covilhã), Equinix, AtlasEdge, Merlin/Edged Energy, NOS Sistemas, Quetta, Templus, Start Campus etc.",No current AWS/Azure/Google region (labs/storage only),85.5,2180.0,"Air cooling, free cooling, liquid immersion pilots, heat recovery, PPA-backed renewables"
Qatar,13,0,13,200000.0,120.0,99.0,"Tier III (majority), some Tier IV","MEEZA, Ooredoo (Mena Digital Hub), Quantum Switch, MEEZA QSTP, Mannai, Gulf Data Hub (new entrant), MEEZA M‑Vaults","No AWS region, labs/storage only",99.0,798.0,"Air cooling, precision CRAC/CRAH, UPS & gensets, AI-optimized cooling pilots, NVidia AI hardware integration"
Romania,60,0,60,326000.0,100.0,92.0,"Tier III (majority), some Tier IV","ClusterPower, NXData, GTS, Telekom Romania, Orange Business, M247, Phoenix, CobraNET",No full hyperscale region (Google/AWS/Microsoft labs only),92.0,4900.0,"Air cooling, free cooling via ambient, precision CRAC, generator/UPS backups, heat reuse pilots"
Rwanda,4,0,4,8000.0,2.0,38.0,Tier II–III (ISP premises),"MTN Rwanda, Airtel Rwanda, Liquid Telecom, RINEX/cache hubs",No global hyperscale presence,38.0,210.0,"Air cooling, UPS/gensets, satellite/VSAT fallback"
Saint Kitts and Nevis,1,0,1,8000.0,2.0,55.62,"Government ICT Center, Flow, Cable & Wireless (CWC), Digicel",,No global hyperscale presence (lab region planned),70.0,645.4,"Air cooling, UPS/gensets, satellite fallback"
Saint Lucia,1,0,1,8000.0,2.0,74.0,Tier III (government ICT center),"Government ICT Center (Basseterre) + Flow, CWC, Digicel PoPs",No global hyperscale presence (local cache only),74.0,20.0,"Air cooling, UPS/gensets, satellite/VSAT fallback"
Saint Vincent and the Grenadines,1,0,1,8000.0,2.0,77.7,Tier III (government ICT center),"Government ICT Center + Flow, Digicel PoPs",No global hyperscale presence (cache-only),77.7,50.0,"Air cooling, UPS/gensets, satellite/VSAT fallback"
Samoa,2,0,2,10000.0,1.0,75.0,Tier II (ISP premises),"Digicel Samoa, Vodafone Samoa (SLT subsidiary)",No global hyperscale presence,75.0,1060.0,"Air cooling, UPS/gensets, VSAT/satellite fallback"
San Marino,1,0,1,5000.0,1.0,42.46,"TIM San Marino (TISM), Telefonia Mobile Sammarinese",,No global hyperscale presence,50.0,0.0,"Air cooling, precision AC, UPS/gensets, fibre‑fed redundancy"
Sao Tome and Principe,0,0,0,0.0,0.0,61.5,,,No global hyperscale presence,61.5,200.0,"Satellite/VSAT, mobile 3G/4G, basic UPS"
Saudi Arabia,36,0,36,1380000.0,345.0,99.0,"Tier III (majority), growing Tier IV","Humain (PIF), stc Center3, Mobily, Gulf Data Hub, DataVolt, Equinix, Quantum Switch, NourNet, Sahara Net, Salam (ITC), Tonumus, EDGNEX etc.","Yes (Google, Microsoft, Oracle planned lab/region)",99.0,1760.0,"Air cooling, free/fjord cooling, liquid immersion pilots, AI-optimized cooling, UPS/gensets, heat reuse, solar pilots"
Senegal,3,0,3,35000.0,12.0,60.6,Tier III (majority),"Tigo/SenConnect (Millicom), Onix Data Centres, Atos Group",No AWS/Azure/GCP region (labs/storage only),60.6,229.99999999999994,"Air cooling, precision AC, UPS/gensets, carrier-neutral CLS locations"
Serbia,13,0,13,300000.0,100.0,88.0,Tier III (majority),"Telekom Srbija, SBB, Orion Telekom, Mainstream, BeotelNet, PhoenixNAP, Zenlayer, AltusHost, Atos Group",No local AWS/Azure/Google hyperscale region (cloud labs only),87.7,510.0,"Air cooling, CRAC/CRAH, UPS/gensets, free cooling pilots"
Seychelles,1,0,1,5000.0,1.0,87.4,Tier II (ISP-grade),"Airtel Africa Seychelles, Cable & Wireless Seychelles",No global hyperscale presence (cache-only),87.4,190.0,"Air cooling, UPS/gensets, VSAT/satellite fallback"
Sierra Leone,1,0,1,8000.0,1.0,4.0,"Africell, Sierra Leone Telecom (Sierratel), ZoodLabs",,No global hyperscale presence (cache/lab only),13.0,0.0,"Air cooling, UPS/gensets, VSAT/fiber fallback, Starlink"
Slovakia,13,0,13,137674.0,30.0,92.0,Tier III (majority),"DataCube, Perpetuus, Deutsche Telekom, VNET, SITEL, Slovak Telekom",No local hyperscale region (cloud labs only),92.0,550.0,"Air cooling, precision CRAC/CRAH, UPS/gensets, free cooling pilots"
Slovenia,21,0,21,137674.0,30.0,92.0,Tier III (majority),"Softnet, Arnes, Telekom Slovenije, IT Tel, Telemach, Posta Slovenije, DataCube, Perpetuus, VNET, SITEL, PhoenixNAP, Zenlayer, AltusHost",No local AWS/Azure/Google hyperscale region (cloud labs only),92.0,700.0,"Air cooling, precision CRAC/CRAH, UPS/gensets, free cooling pilots"
Solomon Islands,1,0,1,8000.0,1.0,2.0,"SATSOL, Solomon Telekom Co Ltd, Our Telekom",,No global hyperscale presence (cache/lab only),13.0,400.0,"Air cooling, UPS/gensets, VSAT/satellite backhaul, eCentre cable module"
Somalia,11,0,11,35000.0,10.0,55.2,Tier III (majority ISP-grade),"Hormuud Telecom, Somtel, Telesom, Golis, Telcom, NationLink",Tiers III solar-powered green DCs by Hormuud – no AWS/Azure/GCP region,55.2,350.0,"Air cooling, UPS/gensets, solar power, carrier-neutral fiber hubs, VSAT/Starlink fallback"
South Sudan,1,0,1,8000.0,1.0,0.0,"MTN South Sudan, Zain South Sudan, Digitel Telecommunication Services Ltd (DTS)",,No global hyperscale presence (cache/lab only),13.0,800.0,"Air cooling, UPS/gensets, solar-powered towers, VSAT/Starlink fallback, carrier-neutral fibre hub"
Sri Lanka,4,0,4,95000.0,25.0,90.0,"Tier III (majority), some Tier IV","Sri Lanka Telecom NDC, Dialog Pilliyandala, OrionStellar (Digital Realty JV), NSB private dc",No AWS/Azure/GCP region (local cloud labs & edge only),90.0,745.0,"Air cooling, precision CRAC/CRAH, free cooling pilots, upcoming liquid immersion, UPS/gensets"
Sudan,3,0,3,24000.0,15.0,28.7,Tier III (ISP-grade),"Sudatel, Zain Sudan, MTN Sudan",Tier‑III green/lab sites by Sudatel; no AWS/Azure/GCP region,28.700000000000003,160.0,"Air cooling, UPS/gensets, VSAT/Starlink fallback, mobile tower solar backup"
Suriname,1,0,1,10000.0,1.0,78.4,Tier III (ISO‑27001 certified),"Datasur, Telesur, Digicel",No global hyperscale region (cache/lab only),78.4,90.0,"Air cooling, UPS/N+1 generators, HVAC, fire suppression/argon systems, redundant cabling"
Syria,2,0,2,16000.0,1.0,35.8,"Tier II–III (Syrian Telecom, MTN, Wafa)",,No global hyperscale region (cache/lab only),13.0,261.15999999999997,"Air cooling, UPS/gensets, VSAT/Starlink fallback, mobile tower solar backup"
Tajikistan,1,0,1,10000.0,1.0,56.8,Tier II (ISP-grade),"TT-Mobile, Babilon-T, MegaFon",Tier-II facilities; no global hyperscale region (cache/lab only),56.8,90.0,"Air cooling, UPS/gensets, VSAT/Starlink fallback, mobile tower solar backup"
Tanzania,3,0,3,30000.0,3.0,36.3,"Tier III (Raxio TZ1, TTCL, Wingu)",,No global hyperscale region (cache/lab only),13.0,400.0,"Air cooling, UPS/gensets, VSAT/Starlink fallback, mobile tower solar backup"
Timor-Leste,1,0,1,10000.0,1.0,44.3,"Tier II (SACOMTEL, Timor Telecom, Telemor)",,No global hyperscale region (cache/lab only),13.0,600.0,"Air cooling, UPS/gensets, VSAT/Starlink fallback, mobile tower solar backup"
Togo,1,0,1,10000.0,1.0,37.0,"Tier III–IV (Lomé Data Center, CSquared Woezon, Moov Africa, Togo Telecom, Togocell)","Equiano (Google), WACS (Maroc Telecom)",No global hyperscale region (cache/lab only),13.0,300.0,"Air cooling, UPS/gensets, VSAT/Starlink fallback, mobile tower solar backup"
Tonga,1,0,1,8000.0,1.0,58.5,Tier III (ISP-grade eCentre),"Tonga Cable Limited, Digicel Tonga, TCC (Kacific partner)",No global hyperscale region (cache/lab only); exploring dual-cable redundancy via satellite fallback,58.5,40.0,"Air cooling, UPS/gensets, VSAT/Starlink backup, cable landing eCentre module"
Trinidad and Tobago,5,0,5,60000.0,15.0,84.7,Tier III (majority),"Amplia (bmobile), Air Link Networks, Columbus/Flow, TSTT/Bmobile, Massy‑AMPLIA",No AWS/Azure/GCP region (cache/lab only),84.7,229.99999999999994,"Air cooling, precision CRAC, UPS/gensets, HFC & fiber backbone redundancy"
Tunisia,6,0,6,180000.0,60.0,66.8,Tier III (majority) & emerging Tier IV,"Orange Tunisia, Tunisie Telecom (Topnet), Ooredoo Tunisia, HexaByte, GlobalNet, 3S GlobalNet",No AWS/Azure/GCP region (cloud labs/lite nodes only),66.8,1010.0,"Air cooling, precision CRAC/CRAH, UPS/gensets, free cooling, power redundancy pilots"
Türkiye,32,0,32,320000.0,120.0,50.0,"Tier III (majority), some Tier IV","Turkcell, Turk Telekom, Vodafone Turkey, Equinix, EdgeConneX, EDGNEX, Compass Data Centre, Radore, PlusLayer, Netdirekt, Telehouse",Yes (Huawei Cloud region in Istanbul; AWS/Azure/GCP labs & Oracle/Eq by end‑2025),82.0,650.0,"Air cooling, precision CRAC/CRAH, free‑cooling, waste‑heat capture pilots, UPS/gensets, emerging liquid immersion/Grid‑PPA renewables"
Turkmenistan,1,0,1,8000.0,1.0,34.9,Tier III (Turkmentelecom/ASTU),"Turkmentelecom (incl. Altyn Asyr, ASTU), no private colos",dedicated cache/lab-only (no hyperscale region),34.9,190.0,"Air cooling, UPS/gensets, satellite/VSAT fallback, containerized colocation module"
Tuvalu,1,0,1,8000.0,1.0,5.0,Tuvalu Telecommunications Corporation (TTC),"MTN Uganda, Airtel Uganda, UTel/UTCL, Roke Telkom (Raxio upcoming DC), Smile Telecom",No global hyperscale region (cache/lab only),13.0,100.0,"Air cooling, UPS/gensets, VSAT/satellite backhaul, compact containerized eCentre"
Uganda,6,0,6,30000.0,8.0,27.999999999999996,Tier III (majority ISP-grade),,No global hyperscale region (cache/lab only),28.0,780.0,"Air cooling, precision CRAC, UPS/gensets, solar-powered towers, carrier-neutral fibre, VSAT/Starlink fallback"
Ukraine,55,0,55,320000.0,150.0,82.4,Tier III (majority) & growing Tier IV,"Ukrtelecom, Kyivstar, Vodafone Ukraine, Lifecell, De Novo, BeMobile, Parkovyi, Tucha, Cosmonova, Zenlayer, NewTelco","No AWS/Azure/GCP region yet; cloud labs, CDN edges only",82.4,955.0,"Air cooling, precision CRAC/CRAH, UPS/gensets, UPS+backup power banks for home routers, free cooling pilots"
United Arab Emirates,31,1,31,450000.0,200.0,60.0,Tier III (majority) & emerging Tier IV,"Global players: e& (Etisalat), du, Equinix, Khazna, Injazat, Gulf Data Hub, Datamena, DC Vaults; Telecoms in-house labs",Hyperscale labs & AWS region; new OpenAI/G42 5 GW AI campus planned,99.0,1760.0,"Air cooling, precision CRAC/CRAH, free cooling, immersion pilots, UPS/battery systems, solar PPAs, heat reuse"
Uruguay,9,0,9,30000.0,35.0,98.0,Tier III (majority) & emerging Tier IV,"DATACENTER UY, Antel, Millicom/Claro, Telesur, IBM Uruguay, Equinix partner hubs, UTEcolocation, Huawei edge",Yes (Google hyperscale under construction in Canelones; cloud labs from AWS/Azure/GCP),90.9,791.0,"Air cooling, precision CRAC, UPS/gensets, free cooling pilots, hydroelectric green energy tie-ins, UPS-backed FTTH households"
Uzbekistan,3,0,3,25000.0,8.0,98.0,Tier III (majority ISP-grade),"Uztelecom, Ucell, Mobiuz, Beeline Uzbekistan, ITI‑IX/Metrotelecom, carrier-neutral colos emerging",No AWS/Azure/GCP region (cache/CDN labs only),98.0,1400.0,Tier‑III ISP/data‑hub rollouts; some Tier‑IV planning
Vanuatu,2,0,2,15000.0,2.0,35.0,Tier III (eCentre & Telco-grade),"Tuvalu Telecommunications Corp (TTC), Pacific Networks/Vodafone, Digicel, Cetelnet",No global hyperscale region (cache/lab only),35.0,200.0,"Air cooling, UPS/gensets, VSAT/Kacific/Starlink backup, containerized eCentre modules"
Venezuela,6,0,6,50000.0,20.0,44.0,Tier III (majority ISP-grade),"CANTV, Movistar, Digitel, Inter, NetUno, SuperCable",No AWS/Azure/GCP region (cache/lab only),44.0,300.0,"Air cooling, UPS/gensets, precision AC in modern colos, backup generators, satellite fallback"
Vietnam,32,1,32,450000.0,145.0,80.7,Tier III (majority) & growing Tier IV,"Viettel IDC, VNPT, FPT Telecom, CMC Telecom, VNG Cloud, Edge Centres, Data Center First, NTT, STT GDC, Telehouse",No AWS/Azure/GCP region yet; Alibaba & Google hyperscale planned,80.7,1790.0,"Air cooling, precision CRAC/CRAH, UPS/gensets, free cooling pilots, AI/immersion-led designs, solar PPA pilots"
Yemen,1,0,1,8000.0,0.0,45.0,"PTC-YEMENNET (YemenNet-PTC), YemenMobile, Sabafon, YOU (ex-MTN Yemen)",No AWS/Azure/GCP region (cache/CDN labs only),No global hyperscale region (cache/lab only),13.0,0.0,"Air cooling, UPS/gensets, VSAT/Starlink backup, Satcube backup"
Zambia,2,0,2,15000.0,3.0,33.0,Tier III (ISP-grade),"Airtel Zambia, MTN Zambia, Zamtel, Liquid Telecom (planned Raxio edge node)",No AWS/Azure/GCP region (cache/CDN labs only),33.0,629.0,"Air cooling, UPS/gensets, VSAT/Starlink fallback, carrier-neutral edge modules"
Zimbabwe,2,0,2,16000.0,5.0,3.0,"TelOne, Dandemutande, Econet/Cassava, NetOne, Telecel",No AWS/Azure/GCP region (cache/CDN labs only),No global hyperscale region (cache/lab only),13.0,0.0,"Air cooling, UPS/gensets, precision AC, satellite/Starlink backup"
